time,open,high,low,close,High,Low,Mid,Untouched High,Untouched Low,Untouched Mid
2022-06-27T09:15:00+05:30,15914.95,15927.45,15862.6,15910.15,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T09:45:00+05:30,15909.85,15913.25,15868.4,15868.4,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T10:15:00+05:30,15867.95,15892.95,15861.6,15878.9,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T10:45:00+05:30,15879.15,15881.6,15853.05,15871.2,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T11:15:00+05:30,15871.8,15880.2,15843.05,15844.25,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T11:45:00+05:30,15844.55,15860.4,15831.9,15847.75,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T12:15:00+05:30,15848.3,15890.15,15843.3,15883.95,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T12:45:00+05:30,15884.55,15911.55,15874.5,15888.8,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T13:15:00+05:30,15889.15,15911.1,15881.05,15896.4,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T13:45:00+05:30,15896.65,15907.2,15871.25,15882.65,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T14:15:00+05:30,15882.7,15887.4,15840.15,15841.35,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T14:45:00+05:30,15840.95,15866.6,15815.5,15835.6,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-27T15:15:00+05:30,15835.75,15843.9,15823.3,15836.1,Touch & Close Above,No Touch,No Touch,No Touch,No Touch,No Touch
2022-06-28T09:15:00+05:30,15768.35,15792.35,15718.7,15745.45,No Touch,Touch & Close Below,No Touch,Touch & Close Below,No Touch,No Touch
2022-06-28T09:45:00+05:30,15746.05,15749.85,15710.15,15718.35,No Touch,Touch & Close Below,No Touch,Touch & Close Below,No Touch,No Touch
2022-06-28T10:15:00+05:30,15718.9,15744.95,15716.75,15739.6,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2022-06-28T10:45:00+05:30,15739.7,15758.15,15726,15747.8,No Touch,Touch & Close Below,No Touch,Touch & Close Below,No Touch,No Touch
2022-06-28T11:15:00+05:30,15747.2,15791.25,15741.5,15783.2,No Touch,Touch & Close Below,No Touch,Touch & Close Above,No Touch,No Touch
2022-06-28T11:45:00+05:30,15783.4,15810.05,15781.3,15797.3,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2022-06-28T12:15:00+05:30,15797.1,15837.8,15776.15,15828.05,No Touch,Touch & Close Above,No Touch,No Touch,No Touch,No Touch
2022-06-28T12:45:00+05:30,15828.15,15830.35,15759.3,15762.05,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2022-06-28T13:15:00+05:30,15762.45,15806.55,15759,15799.55,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
